"Team","Off.Rank","Games","Win-Loss","Off.Plays","Off.Yards","Off.Yards/Play","Off.TDs","Off.Yards.per.Game","Def.Rank","Def.Plays","Yards.Allowed","Yards/Play.Allowed","Off.TDs.Allowed","Total.TDs.Allowed","Yards.Per.Game.Allowed","Turnover.Rank","Fumbles.Recovered","Opponents.Intercepted","Turnovers.Gain","Fumbles.Lost","Interceptions.Thrown_x","Turnovers.Lost","Turnover.Margin","Avg.Turnover.Margin.per.Game","Time.of.Possession.Rank","Time.of.Possession","Average.Time.of.Possession.per.Game","Tackle.for.Loss.Rank","Solo.Tackle.For.Loss","Assist.Tackle.For.Loss","Tackle.for.Loss.Yards","Total.Tackle.For.Loss","Tackle.For.Loss.Per.Game","Sack.Rank","Sacks","Sack.Yards","Average.Sacks.per.Game","Scoring.Off.Rank","Touchdowns","PAT","2.Point.Conversions","Defensive.Points","Feild.Goals","Safety","Total.Points","Points.Per.Game","Scoring.Def.Rank","Touchdowns.Allowed","Opponent.Extra.Points","2.Point.Conversions.Allowed","Opp.Deflected.Extra.Points","Opp.Feild.Goals.Made","Opp.Safety","Points.Allowed","Avg.Points.per.Game.Allowed","Rushing.Off.Rank","Rush.Attempts","Rush.Yds","Yards/Rush","Rushing.TD","Rushing.Yards.per.Game","Rushing.Def.Rank","Opp.Rush.Attempts","Opp.Rush.Yards.Alloweed","Yds/Rush.Allowed","Opp.Rush.Touchdowns.Allowed","Rush.Yards.Per.Game.Allowed","Redzone.Off.Rank","Redzone.Attempts","Redzone.Rush.TD","Redzone.Pass.TD","Redzone.Field.Goals.Made","Redzone.Scores","Redzone.Points","Redzone.Def.Rank","Opp.Redzone.Attempts","Opp.Redzone.Rush.TD.Allowed","Opp.Redzone.Pass.Touchdowns.Allowed","Opp.Redzone.Field.Goals.Made","Opp.Redzone.Scores","Redzone.Points.Allowed","Punt.Return.Rank","Punt.Returns","Net.Punt.Return.Yards","Punt.Return.Touchdowns","Avg.Yards.Per.Punt.Return","Punt.Return.Def.Rank","Opp.Punt.Returns","Opp.Net.Punt.Return.Yards","Opp.Punt.Return.Touchdowns.Allowed","Avg.Yards.Allowed.per.Punt.Return","Passing.Off.Rank","Pass.Attempts","Pass.Completions","Interceptions.Thrown_y","Pass.Yards","Pass.Yards/Attempt","Yards/Completion","Pass.Touchdowns","Pass.Yards.Per.Game","Pass.Def.Rank","Opp.Completions.Allowed","Opp.Pass.Attempts","Opp.Pass.Yds.Allowed","Opp.Pass.TDs.Allowed","Yards/Attempt.Allowed","Yards/Completion.Allowed","Pass.Yards.Per.Game.Allowed","Kickoff.Return.Rank","Kickoffs.Returned","Kickoff.Return.Yards","Kickoff.Return.Touchdowns","Avg.Yard.per.Kickoff.Return","Kickoff.Return.Def.Rank","Opp.Kickoff.Returns","Kickoff.Touchbacks","Opponent.Kickoff.Return.Yards","Opp.Kickoff.Return.Touchdowns.Allowed","Avg.Yards.per.Kickoff.Return.Allowed","First.Down.Rank","First.Down.Runs","First.Down.Passes","First.Down.Penalties","First.Downs","First.Down.Def.Rank","Opp.First.Down.Runs","Opp.First.Down.Passes","Opp.First.Down.Penalties","Opp.First.Downs","Penalty.Rank","Penalties","Penalty.Yards","Penalty.Yards.Per.Game","3rd.Down.Rank","3rd.Attempts","3rd.Conversions","3rd.Percent","3rd.Down.Def.Rank","Opp.3rd.Conversion","Opp.3rd.Attempt","Opponent.3rd.Percent","4th.Down.Rank","4th.Attempts","4th.Conversions","4th.Percent","4rd.Down.Def.Rank","Opp.4th.Conversion","Opp.4th.Attempt","Opponent.4th.Percent"
"Boston College (ACC)",121,12,3-9,803,3723,4.64,27,310.2,68,806,4534,5.63,44,45,377.8,124,8,7,15,12,14,26,-11,-0.92,88,347:29,28:57,21,61,42,293,82,6.8,129,46,360,3.83,123,27,24,0,0,9,0,213,17.8,102,45,38,1,0,18,0,364,30.3,131,363,758,2.09,6,63.2,91,458,2000,4.37,25,166.7,85,32,4,14,8,26,0.812,94,48,18,14,10,42,0.875,48,12,71,0,5.92,48,12,71,0,5.92,54,440,262,14,2965,6.74,11.32,21,247.1,46,205,348,2534,19,7.28,12.36,211.2,35,30,646,0,21.53,129,21,16,608,1,28.95,57,99,116,25,240,57,99,116,25,240,48,72,582,48.5,114,174,57,0.328,56,60,162,0.37,88,8,18,0.444,2,3,15,0.2
"Miami (OH) (MAC)",122,12,6-6,756,3701,4.9,26,308.4,62,831,4461,5.37,31,32,371.8,23,9,10,19,7,5,12,7,0.58,48,367:44,30:39,115,43,22,224,54,4.5,98,34,213,2.83,113,27,25,0,0,18,1,243,20.2,34,32,30,0,0,16,0,270,22.5,77,446,1711,3.84,13,142.6,40,414,1629,3.93,15,135.8,91,36,10,8,11,29,0.806,93,39,12,11,11,34,0.872,17,21,77,0,3.67,17,21,77,0,3.67,121,310,169,5,1990,6.42,11.78,13,165.8,86,256,417,2832,16,6.79,11.06,236.0,122,18,299,0,16.61,97,24,22,525,1,21.88,55,88,130,21,239,55,88,130,21,239,44,66,577,48.08,117,171,55,0.322,70,68,175,0.389,102,7,17,0.412,90,9,16,0.562
"Nevada (Mountain West)",123,12,2-10,825,3656,4.43,26,304.7,83,814,4754,5.84,40,45,396.2,55,8,11,19,9,8,17,2,0.17,102,341:49,28:29,42,63,26,282,76,6.3,98,34,198,2.83,120,27,25,0,0,13,0,226,18.8,104,45,43,1,0,18,1,371,30.9,110,427,1429,3.35,19,119.1,88,458,1975,4.31,23,164.6,74,35,17,2,10,29,0.829,52,43,15,8,12,35,0.814,99,15,146,0,9.73,99,15,146,0,9.73,115,398,217,8,2227,5.6,10.26,7,185.6,78,214,356,2779,17,7.81,12.99,231.6,84,33,636,0,19.27,39,16,26,293,0,18.31,48,93,119,23,235,48,93,119,23,235,74,72,661,55.08,103,194,69,0.356,102,74,175,0.423,63,13,26,0.5,118,11,17,0.647
"UConn (FBS Independent)",124,12,6-6,733,3626,4.95,28,302.2,76,833,4643,5.57,36,39,386.9,55,8,12,20,11,7,18,2,0.17,57,364:37,30:23,98,41,38,264,60,5.0,30,17,118,1.42,115,29,26,1,0,12,0,238,19.8,61,39,35,0,0,14,1,313,26.1,32,487,2339,4.8,18,194.9,89,457,1996,4.37,23,166.3,36,32,13,6,9,28,0.875,60,46,19,9,10,38,0.826,104,20,207,3,10.35,104,20,207,3,10.35,127,246,146,7,1287,5.23,8.82,10,107.2,63,238,376,2647,13,7.04,11.12,220.6,76,27,527,0,19.52,87,30,17,639,0,21.3,93,118,120,24,262,93,118,120,24,262,79,82,665,55.42,81,167,63,0.377,107,67,158,0.424,91,7,16,0.438,5,7,24,0.292
"Western Mich. (MAC)",125,12,5-7,800,3623,4.53,24,301.9,41,778,4226,5.43,33,34,352.2,37,14,11,25,8,13,21,4,0.33,56,365:23,30:27,31,62,36,323,80,6.7,124,42,238,3.5,119,27,21,2,0,13,1,228,19.0,48,34,34,0,0,17,0,289,24.1,89,465,1635,3.52,14,136.2,47,427,1681,3.94,18,140.1,123,33,11,3,10,24,0.727,35,45,16,8,12,36,0.8,37,22,119,0,5.41,37,22,119,0,5.41,122,335,167,13,1988,5.93,11.9,10,165.7,47,203,351,2545,15,7.25,12.54,212.1,75,34,664,1,19.53,107,29,16,654,0,22.55,26,85,105,27,217,26,85,105,27,217,111,80,755,62.92,121,185,58,0.314,18,50,158,0.316,74,13,27,0.481,11,7,19,0.368
"Colorado St. (Mountain West)",126,12,3-9,707,3429,4.85,16,285.8,43,828,4260,5.14,39,41,355.0,103,7,8,15,9,11,20,-5,-0.42,73,353:43,29:29,76,49,34,249,66,5.5,131,59,399,4.92,129,19,14,0,0,10,0,158,13.2,70,41,41,0,0,12,0,323,26.9,127,385,1068,2.77,4,89.0,87,473,1963,4.15,24,163.6,131,23,2,3,7,12,0.522,127,44,23,10,8,41,0.932,42,14,78,0,5.57,42,14,78,0,5.57,108,322,203,11,2361,7.33,11.63,12,196.8,21,219,355,2297,15,6.47,10.49,191.4,118,19,319,0,16.79,22,6,30,103,0,17.17,59,114,110,18,242,59,114,110,18,242,103,84,740,61.67,130,151,34,0.225,63,62,164,0.378,107,13,33,0.394,126,13,19,0.684
"Rutgers (Big Ten)",127,12,4-8,763,3385,4.44,22,282.1,37,811,4197,5.18,38,46,349.8,106,5,9,14,6,14,20,-6,-0.5,80,350:16,29:11,78,51,28,250,65,5.4,71,26,175,2.17,124,25,23,0,0,12,0,209,17.4,99,46,45,0,0,12,0,357,29.8,94,431,1538,3.57,11,128.2,53,430,1715,3.99,23,142.9,108,28,7,8,7,22,0.786,131,41,21,8,10,39,0.951,1,8,-11,0,-1.38,1,8,-11,0,-1.38,124,332,168,14,1847,5.56,10.99,11,153.9,37,224,381,2482,15,6.51,11.08,206.8,52,26,541,0,20.81,124,23,17,577,2,25.09,50,97,111,28,236,50,97,111,28,236,114,94,770,64.17,128,172,49,0.285,31,58,170,0.341,58,9,17,0.529,121,16,24,0.667
"Colorado (Pac-12)",128,12,1-11,747,3375,4.52,21,281.2,130,850,6117,7.2,70,72,509.8,124,5,6,11,12,10,22,-11,-0.92,120,328:42,27:24,126,41,16,166,49,4.1,58,23,175,1.92,127,22,20,0,0,11,0,185,15.4,131,72,69,1,0,9,2,534,44.5,116,387,1300,3.36,11,108.3,131,485,2941,6.06,39,245.1,118,29,9,6,7,22,0.759,82,68,31,21,6,58,0.853,84,34,283,1,8.32,84,34,283,1,8.32,117,360,179,10,2075,5.76,11.59,10,172.9,111,245,365,3176,31,8.7,12.96,264.7,39,35,750,0,21.43,125,10,34,255,0,25.5,128,150,145,14,309,128,150,145,14,309,45,64,579,48.25,119,164,52,0.317,131,76,143,0.531,119,11,31,0.355,56,11,23,0.478
"Massachusetts (FBS Independent)",129,12,1-11,797,3189,4.0,14,265.8,59,731,4435,6.07,46,48,369.6,91,8,9,17,6,14,20,-3,-0.25,17,389:07,32:26,56,50,44,223,72,6.0,66,25,169,2.08,131,16,13,1,0,13,0,150,12.5,106,48,46,0,0,13,0,373,31.1,69,520,1786,3.43,10,148.8,116,466,2332,5.0,29,194.3,94,25,8,2,10,20,0.8,107,44,22,8,9,39,0.886,53,23,143,0,6.22,53,23,143,0,6.22,126,277,136,14,1403,5.06,10.32,4,116.9,10,143,265,2103,17,7.94,14.71,175.2,93,34,638,0,18.76,30,25,13,450,0,18.0,40,103,88,36,227,40,103,88,36,227,120,91,800,66.67,129,194,55,0.284,15,43,139,0.309,94,13,30,0.433,78,9,17,0.529
"Iowa (Big Ten)",130,12,7-5,724,3065,4.23,18,255.4,4,814,3335,4.1,17,18,277.9,37,8,13,21,10,7,17,4,0.33,101,342:33,28:33,47,50,50,330,75,6.2,111,37,271,3.08,122,23,22,0,0,17,2,215,17.9,6,18,17,0,0,16,0,173,14.4,122,399,1167,2.92,12,97.2,13,433,1249,2.88,4,104.1,88,26,7,4,10,21,0.808,31,34,4,10,13,27,0.794,18,18,67,0,3.72,18,18,67,0,3.72,123,325,178,7,1898,5.84,10.66,6,158.2,9,223,381,2086,13,5.48,9.35,173.8,27,20,443,0,22.15,17,17,29,289,0,17.0,11,87,93,13,193,11,87,93,13,193,7,51,415,34.58,124,165,49,0.297,21,62,191,0.325,110,5,13,0.385,112,17,27,0.63
"New Mexico (Mountain West)",131,12,2-10,694,2737,3.94,15,228.1,46,780,4322,5.54,34,38,360.2,37,9,9,18,5,9,14,4,0.33,84,348:27,29:02,88,42,40,252,62,5.2,126,43,250,3.58,130,17,16,0,0,13,0,157,13.1,60,38,37,1,0,15,0,312,26.0,102,439,1478,3.37,12,123.2,77,460,1889,4.11,19,157.4,108,28,11,2,9,22,0.786,126,29,13,4,10,27,0.931,62,26,176,1,6.77,62,26,176,1,6.77,128,255,137,9,1259,4.94,9.19,3,104.9,30,195,320,2433,15,7.6,12.48,202.8,23,25,560,1,22.4,98,14,20,308,0,22.0,23,99,92,22,213,23,99,92,22,213,55,73,614,51.17,131,159,35,0.22,32,57,167,0.341,128,4,15,0.267,128,16,23,0.696
